ticket_id,created,company,contact_email,plan,category,subject,description,severity,status
FW-1001,2026-01-05,Bramwell Logistics,ops@bramwell-log.com,Growth,Billing,Invoice shows wrong seat count,We were charged for 42 seats but only have 35 active users this month. Can you correct our invoice?,Medium,Open
FW-1002,1/6/26,Solace Dental Group,priya.n@solacedental.com,starter,refund request,Want to cancel and get money back,We signed up for the annual Starter plan on 2025-12-28 and want a full refund. We decided to go with a competitor instead.,,Open
FW-1003,2026-01-06,Northfield Analytics,,,technical issue,Slack integration stopped posting updates,Our #project-updates channel hasn't received any Fernway notifications since Monday. We rely on this daily.,High,Open
FW-1004,06-Jan-2026,Pixel & Pine Studio,tom@pixelpine.co,Enterprise,Billing,Cannot log in via company SAML,Every team member is stuck on a redirect loop trying to log in through our Okta SSO. This is blocking our whole team right now.,Critical,Open
FW-1005,2026-01-07,Bramwell Logistics,ops@bramwell-log.com,Growth,General,How do I add a new team member?,New hire starting Monday. Want to make sure I know the invite process before then.,Low,Open
FW-1006,1/7/26,Harrow & Vance LLP,d.vance@harrowvance.com,,Refund,Requesting refund for unused seats,We downgraded from 60 to 40 seats mid-cycle on Jan 3. Finance is asking whether we get money back for the unused 20 seats for the rest of the billing period.,Medium,Open
FW-1002,2026-01-07,Solace Dental Group,priya.n@solacedental.com,Starter,Refund,Duplicate of FW-1002,Submitting again in case the first one didn't go through. Still want the refund for our annual plan.,,Open
FW-1008,08-Jan-2026,Kestrel Freight Co,ops2@kestrelfreight.com,GROWTH,Integration,API rate limit errors since yesterday,We're getting 429 errors on roughly 1 in 5 calls to the tasks endpoint since around 3pm yesterday. Our nightly sync job is failing.,High,Open
FW-1009,2026-01-08,Marrow Creative Agency,jen@marrowcreative.io,Starter,feature request,Dark mode please,Half our team works late and the bright interface is rough on the eyes. Any plans to add a dark theme?,,Open
FW-1010,08-Jan-2026,Tidewell Health Partners,,Enterprise,Billing,Entire workspace is down,Nobody at our company can access Fernway right now. Getting a 500 error on every page. This is production-blocking for our care coordination team.,Critical,Open
FW-1011,2026-01-09,Kestrel Freight Co,ops2@kestrelfreight.com,Enterprise,billing,Question about upgrading to Enterprise,We're growing past 200 users soon and want to understand what changes if we move to Enterprise pricing.,Low,Pending
FW-1012,1/9/26,Alder & Finch Consulting,r.finch@alderfinch.com,Enterprise,refund,Enterprise contract cancellation and refund,"We signed a 12-month Enterprise contract in October and want to cancel now. Our MSA isn't clear on what portion, if any, is refundable. Please advise.",Medium,Open
FW-1013,2026-01-09,Northfield Analytics,,,Billing,Automation workflow not triggering,"We built a workflow to auto-assign tasks when a form is submitted, but it hasn't fired once in three days despite multiple test submissions.",Medium,Open
FW-1014,09-Jan-2026,Coppervale Retail Group,it@coppervale-retail.com,Starter,Login,Password reset email never arrives,"Three of our users have tried the 'forgot password' flow and none of them received the reset email, even after checking spam.",Medium,Open
FW-1015,2026-01-10,Marrow Creative Agency,jen@marrowcreative.io,starter,General,Where do I change notification settings?,,,Open
FW-1016,10-Jan-2026,Bramwell Logistics,ops@bramwell-log.com,Growth,Refund,Charged twice this month,Our card shows two identical charges of $99 x 12 seats on Jan 8 and Jan 9. Please refund the duplicate charge.,High,Open
FW-1017,2026-01-10,Harrow & Vance LLP,d.vance@harrowvance.com,,Feature Request,Need Gantt chart export to PDF,"We present project timelines to clients and need a clean PDF export of the Gantt view, not just a screenshot.",Low,Open
FW-1018,1/11/26,Solace Dental Group,priya.n@solacedental.com,Starter,General,How do I cancel auto-renew,"Before we hear back on the refund, can someone confirm auto-renew is off so we're not charged again next cycle?",Medium,Open
FW-1019,2026-01-11,Kestrel Freight Co,ops2@kestrelfreight.com,Growth,Billing,Google Workspace sync duplicating tasks,Every task synced from Google Calendar is appearing twice in the board. Started after we reconnected the integration last week.,Medium,Open
FW-1020,11-Jan-2026,Pixel & Pine Studio,tom@pixelpine.co,,SSO,"SAML issue partially resolved, still 2 users stuck","IT reset the Okta config and most of the team can log in now, but 2 users are still stuck in the redirect loop.",High,Open
FW-1021,2026-01-12,Thistledown Care Homes,admin@thistledown.org,Starter,Refund,"REFUND NEEDED ASAP, this app is unusable",We've had nothing but login problems for two weeks and we're done. We paid annually in November and want our money back.,High,Open
FW-1022,12-Jan-2026,Coppervale Retail Group,it@coppervale-retail.com,Growth,Technical,CSV export is corrupted,Every export we download has garbled characters in the customer name column. Happening on both Chrome and Edge.,Medium,Open
FW-1023,2026-01-12,Alder & Finch Consulting,r.finch@alderfinch.com,Enterprise,General,Can we get a dedicated CSM call this week?,"Following up on FW-1012, would like to talk through options with our account manager before deciding anything.",Low,Pending
FW-1024,12-Jan-2026,Marrow Creative Agency,jen@marrowcreative.io,Growth,Feature Request,Custom fields on task cards,We need to track a 'client billable' yes/no field per task and there's no way to add a custom field right now.,,Open
